TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,LOGICAL_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,KEY_POSITION,DESCRIPTION
実行権限,,コントローラ管理テーブル,識別子,識別子,1,,NO,INT,1,
実行権限,,コントローラ管理テーブル,名称,名称,2,,NO,VARCHAR(100),,
実行権限,,コントローラ管理テーブル,URLパス,URLパス,3,,NO,VARCHAR(50),,手続きをアクセスする際のURLに付与するパス。
実行権限,,コントローラ管理テーブル,DIコンポーネント名,DIコンポーネント名,4,,NO,VARCHAR(100),,コントローラオブジェクトのDIコンポーネントとしての名称。
実行権限,,コントローラ管理テーブル,クラス名,クラス名,5,,YES,VARCHAR(100),,コントローラクラスのクラス名。
実行権限,,コントローラ管理テーブル,クラスパッケージパス,クラスパッケージパス,6,,YES,VARCHAR(300),,コントローラクラスのパッケージ。
実行権限,,コントローラ管理テーブル,使用中止,使用中止,7,0,NO,BIT(1),,一時的に使用中止にする場合に1にしておく
実行権限,,コントローラ管理テーブル,システム管理用,システム管理用,8,0,NO,BIT(1),,システム管理手続き用のコントローラかどうかを示す
実行権限,,コントローラ管理テーブル,備考,備考,9,,YES,TEXT,,
実行権限,,コントローラ管理テーブル,登録日時,登録日時,10,CURRENT_TIMESTAMP,NO,TIMESTAMP,,
実行権限,,コントローラ管理テーブル,登録者,登録者,11,0,NO,INT,,
実行権限,,コントローラ管理テーブル,更新日時,更新日時,12,CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP,NO,TIMESTAMP,,
実行権限,,コントローラ管理テーブル,更新者,更新者,13,0,NO,INT,,
実行権限,,コントローラ管理テーブル,削除済み,削除済み,14,0,NO,BIT(1),,
実行権限,,サービス管理者グループメンバー管理テーブル,識別子,識別子,1,,NO,INT,1,
実行権限,,サービス管理者グループメンバー管理テーブル,会員ID,会員ID,2,,NO,INT,,
実行権限,,サービス管理者グループメンバー管理テーブル,登録日時,登録日時,3,CURRENT_TIMESTAMP ,NO,TIMESTAMP,,
実行権限,,サービス管理者グループメンバー管理テーブル,登録者,登録者,4,0,NO,INT,,
実行権限,,サービス管理者グループメンバー管理テーブル,更新日時,更新日時,5,CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP,NO,TIMESTAMP,,
実行権限,,サービス管理者グループメンバー管理テーブル,更新者,更新者,6,0,NO,INT,,
実行権限,,サービス管理者グループメンバー管理テーブル,削除済み,削除済み,7,0,NO,BIT(1),,
実行権限,,システム管理者グループメンバー管理テーブル,識別子,識別子,1,,NO,INT,1,
実行権限,,システム管理者グループメンバー管理テーブル,会員ID,会員ID,2,,NO,INT,,
実行権限,,システム管理者グループメンバー管理テーブル,登録日時,登録日時,3,CURRENT_TIMESTAMP ,NO,TIMESTAMP,,
実行権限,,システム管理者グループメンバー管理テーブル,登録者,登録者,4,0,NO,INT,,
実行権限,,システム管理者グループメンバー管理テーブル,更新日時,更新日時,5,CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP,NO,TIMESTAMP,,
実行権限,,システム管理者グループメンバー管理テーブル,更新者,更新者,6,0,NO,INT,,
実行権限,,システム管理者グループメンバー管理テーブル,削除済み,削除済み,7,0,NO,BIT(1),,
実行権限,,ユーザ認証テーブル,識別子,識別子,1,,NO,INT,1,
実行権限,,ユーザ認証テーブル,利用者名,利用者名,2,,NO,VARCHAR(200),,
実行権限,,ユーザ認証テーブル,利用者パスワード,利用者パスワード,3,,NO,VARCHAR(200),,
実行権限,,ユーザ認証テーブル,備考,備考,4,,YES,TEXT,,
実行権限,,ユーザ認証テーブル,登録日時,登録日時,5,CURRENT_TIMESTAMP ,NO,TIMESTAMP,,
実行権限,,ユーザ認証テーブル,登録者,登録者,6,0,NO,INT,,
実行権限,,ユーザ認証テーブル,更新日時,更新日時,7,CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP,NO,TIMESTAMP,,
実行権限,,ユーザ認証テーブル,更新者,更新者,8,0,NO,INT,,
実行権限,,ユーザ認証テーブル,削除済み,削除済み,9,0,NO,BIT(1),,
実行権限,,ユーザ＿会員変換テーブル,識別子,識別子,1,,NO,INT,1,
実行権限,,ユーザ＿会員変換テーブル,システム種別,システム種別,2,,NO,VARCHAR(100),,どのシステムのユーザかを表す種別名。
実行権限,,ユーザ＿会員変換テーブル,ユーザID,ユーザID,3,,NO,VARCHAR(100),,
実行権限,,ユーザ＿会員変換テーブル,パスワード,パスワード,4,,NO,VARCHAR(100),,
実行権限,,ユーザ＿会員変換テーブル,認証用利用者名,認証用利用者名,5,,NO,VARCHAR(200),,
実行権限,,ユーザ＿会員変換テーブル,認証用パスワード,認証用パスワード,6,,NO,VARCHAR(200),,
実行権限,,ユーザ＿会員変換テーブル,認証キー,認証キー,7,,NO,VARCHAR(500),,
実行権限,,ユーザ＿会員変換テーブル,会員識別トークン,会員識別トークン,8,,NO,VARCHAR(100),,サービス会員を識別するトークン文字列。
実行権限,,ユーザ＿会員変換テーブル,備考,備考,9,,YES,TEXT,,
実行権限,,ユーザ＿会員変換テーブル,登録日時,登録日時,10,CURRENT_TIMESTAMP ,NO,TIMESTAMP,,
実行権限,,ユーザ＿会員変換テーブル,登録者,登録者,11,,NO,INT,,0
実行権限,,ユーザ＿会員変換テーブル,更新日時,更新日時,12,CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP,NO,TIMESTAMP,,
実行権限,,ユーザ＿会員変換テーブル,更新者,更新者,13,,NO,INT,,0
実行権限,,ユーザ＿会員変換テーブル,削除済み,削除済み,14,0,NO,BIT(1),,
実行権限,,会員グループメンバー管理テーブル,識別子,識別子,1,,NO,INT,1,
実行権限,,会員グループメンバー管理テーブル,会員グループ識別子,会員グループ識別子,2,,NO,INT,,
実行権限,,会員グループメンバー管理テーブル,メンバーID,メンバーID,3,,NO,INT,,
実行権限,,会員グループメンバー管理テーブル,メンバー種別,メンバー種別,4,,NO,TINYINT,,メンバーの種類。1:会員、2:会員目録、3:会員グループ
実行権限,,会員グループメンバー管理テーブル,登録日時,登録日時,5,CURRENT_TIMESTAMP ,NO,TIMESTAMP,,
実行権限,,会員グループメンバー管理テーブル,登録者,登録者,6,0,NO,INT,,
実行権限,,会員グループメンバー管理テーブル,更新日時,更新日時,7,CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP,NO,TIMESTAMP,,
実行権限,,会員グループメンバー管理テーブル,更新者,更新者,8,0,NO,INT,,
実行権限,,会員グループメンバー管理テーブル,削除済み,削除済み,9,0,NO,BIT(1),,
実行権限,,会員グループ管理テーブル,識別子,識別子,1,,NO,INT,1,
実行権限,,会員グループ管理テーブル,名称,名称,2,,NO,VARCHAR(100),,
実行権限,,会員グループ管理テーブル,備考,備考,3,,YES,TEXT,,
実行権限,,会員グループ管理テーブル,登録日時,登録日時,4,CURRENT_TIMESTAMP ,NO,TIMESTAMP,,
実行権限,,会員グループ管理テーブル,登録者,登録者,5,0,NO,INT,,
実行権限,,会員グループ管理テーブル,更新日時,更新日時,6,CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP,NO,TIMESTAMP,,
実行権限,,会員グループ管理テーブル,更新者,更新者,7,0,NO,INT,,
実行権限,,会員グループ管理テーブル,削除済み,削除済み,8,0,NO,BIT(1),,
実行権限,,会員目録管理テーブル,識別子,識別子,1,,NO,INT,1,
実行権限,,会員目録管理テーブル,名称,名称,2,,NO,VARCHAR(100),,
実行権限,,会員目録管理テーブル,親目録識別子,親目録識別子,3,,YES,INT,,この目録が所属する親目録の識別子。親目録がない場合（ルート目録の場合）はNULL。
実行権限,,会員目録管理テーブル,備考,備考,4,,YES,TEXT,,
実行権限,,会員目録管理テーブル,登録日時,登録日時,5,CURRENT_TIMESTAMP ,NO,TIMESTAMP,,
実行権限,,会員目録管理テーブル,登録者,登録者,6,0,NO,INT,,
実行権限,,会員目録管理テーブル,更新日時,更新日時,7,CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP,NO,TIMESTAMP,,
実行権限,,会員目録管理テーブル,更新者,更新者,8,0,NO,INT,,
実行権限,,会員目録管理テーブル,削除済み,削除済み,9,0,NO,BIT(1),,
実行権限,,会員管理テーブル,識別子,識別子,1,,NO,INT,1,
実行権限,,会員管理テーブル,識別トークン,識別トークン,2,,NO,VARCHAR(300),,
実行権限,,会員管理テーブル,目録識別子,目録識別子,3,,YES,INT,,目録は必須ではない。
実行権限,,会員管理テーブル,名称,名称,4,,NO,VARCHAR(100),,
実行権限,,会員管理テーブル,ログイン不可,ログイン不可,5,0,NO,BIT(1),,ログイン不可とするユーザ。ログイン不可なのでいかなる手続きも実行できない。直接データ投入時のデータ登録者、データ更新者用の会員などを想定している。
実行権限,,会員管理テーブル,備考,備考,6,,YES,TEXT,,
実行権限,,会員管理テーブル,登録日時,登録日時,7,CURRENT_TIMESTAMP ,NO,TIMESTAMP,,
実行権限,,会員管理テーブル,登録者,登録者,8,0,NO,INT,,
実行権限,,会員管理テーブル,更新日時,更新日時,9,CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP,NO,TIMESTAMP,,
実行権限,,会員管理テーブル,更新者,更新者,10,0,NO,INT,,
実行権限,,会員管理テーブル,削除済み,削除済み,11,0,NO,BIT(1),,
実行権限,,実行権限テーブル,会員識別子,会員識別子,1,,NO,INT,1,
実行権限,,実行権限テーブル,手続き識別子,手続き識別子,2,,NO,INT,2,
実行権限,,実行権限テーブル,権限,権限,3,,NO,BIT(8),,
実行権限,,実行権限テーブル,登録日時,登録日時,4,CURRENT_TIMESTAMP ,NO,TIMESTAMP,,
実行権限,,実行権限テーブル,更新日時,更新日時,5,CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP,NO,TIMESTAMP,,
実行権限,,実行権限設定テーブル,識別子,識別子,1,,NO,INT,1,
