大分類 A　農業，林業 　　説明及び内容例示（PDF：33KB）
中分類　01　　農業
    010　　管理，補助的経済活動を行う事業所（01農業）
        0100　　主として管理事務を行う本社等
        0109　　その他の管理，補助的経済活動を行う事業所
    011　　耕種農業
        0111　　米作農業
        0112　　米作以外の穀作農業
        0113　　野菜作農業（きのこ類の栽培を含む）
        0114　　果樹作農業
        0115　　花き作農業
        0116　　工芸農作物農業
        0117　　ばれいしょ・かんしょ作農業
        0119　　その他の耕種農業
    012　　畜産農業
        0121　　酪農業
        0122　　肉用牛生産業
        0123　　養豚業
        0124　　養鶏業
        0125　　畜産類似業
        0126　　養蚕農業
        0129　　その他の畜産農業
    013　　農業サービス業（園芸サービス業を除く）
        0131　　穀作サービス業
        0132　　野菜作・果樹作サービス業
        0133　　穀作，野菜作・果樹作以外の耕種サービス業
        0134　　畜産サービス業（獣医業を除く）
    014　　園芸サービス業
        0141　　園芸サービス業
中分類　02　　林業
    020　　管理，補助的経済活動を行う事業所（02林業）
        0200　　主として管理事務を行う本社等
        0209　　その他の管理，補助的経済活動を行う事業所
    021　　育林業
        0211　　育林業
    022　　素材生産業
        0221　　素材生産業
    023　　特用林産物生産業（きのこ類の栽培を除く）
        0231　　製薪炭業
        0239　　その他の特用林産物生産業（きのこ類の栽培を除く）
    024　　林業サービス業
        0241　　育林サービス業
        0242　　素材生産サービス業
        0243　　山林種苗生産サービス業
        0249　　その他の林業サービス業
    029　　その他の林業
        0299　　その他の林業
大分類 B　漁業 　　説明及び内容例示（PDF：20KB）
中分類　03　　漁業（水産養殖業を除く）
    030　　管理，補助的経済活動を行う事業所（03漁業）
        0300　　主として管理事務を行う本社等
        0309　　その他の管理，補助的経済活動を行う事業所
    031　　海面漁業
        0311　　底びき網漁業
        0312　　まき網漁業
        0313　　刺網漁業
        0314　　釣・はえ縄漁業
        0315　　定置網漁業
        0316　　地びき網・船びき網漁業
        0317　　採貝・採藻業
        0318　　捕鯨業
        0319　　その他の海面漁業
    032　　内水面漁業
        0321　　内水面漁業
中分類　04　　水産養殖業
    040　　管理，補助的経済活動を行う事業所（04水産養殖業）
        0400　　主として管理事務を行う本社等
        0409　　その他の管理，補助的経済活動を行う事業所
    041　　海面養殖業
        0411　　魚類養殖業
        0412　　貝類養殖業
        0413　　藻類養殖業
        0414　　真珠養殖業
        0415　　種苗養殖業
        0419　　その他の海面養殖業
    042　　内水面養殖業
        0421　　内水面養殖業
大分類 C　鉱業，採石業，砂利採取業 　　説明及び内容例示（PDF：21KB）
中分類　05　　鉱業，採石業，砂利採取業
    050　　管理，補助的経済活動を行う事業所（05鉱業，採石業，砂利採取業）
        0500　　主として管理事務を行う本社等
        0509　　その他の管理，補助的経済活動を行う事業所
    051　　金属鉱業
        0511　　金・銀鉱業
        0512　　鉛・亜鉛鉱業
        0513　　鉄鉱業
        0519　　その他の金属鉱業
    052　　石炭・亜炭鉱業
        0521　　石炭鉱業（石炭選別業を含む）
        0522　　亜炭鉱業
    053　　原油・天然ガス鉱業
        0531　　原油鉱業
        0532　　天然ガス鉱業
    054　　採石業，砂・砂利・玉石採取業
        0541　　花こう岩・同類似岩石採石業
        0542　　石英粗面岩・同類似岩石採石業
        0543　　安山岩・同類似岩石採石業
        0544　　大理石採石業
        0545　　ぎょう灰岩採石業
        0546　　砂岩採石業
        0547　　粘板岩採石業
        0548　　砂・砂利・玉石採取業
        0549　　その他の採石業，砂・砂利・玉石採取業
    055　　窯業原料用鉱物鉱業（耐火物・陶磁器・ガラス・セメント原料用に限る）
        0551　　耐火粘土鉱業
        0552　　ろう石鉱業
        0553　　ドロマイト鉱業
        0554　　長石鉱業
        0555　　けい石鉱業
        0556　　天然けい砂鉱業
        0557　　石灰石鉱業
        0559　　その他の窯業原料用鉱物鉱業
    059　　その他の鉱業
        0591　　酸性白土鉱業
        0592　　ベントナイト鉱業
        0593　　けいそう土鉱業
        0594　　滑石鉱業
        0599　　他に分類されない鉱業
大分類 D　建設業 　　説明及び内容例示（PDF：45KB）
中分類　06　　総合工事業
    060　　管理，補助的経済活動を行う事業所（06総合工事業）
        0600　　主として管理事務を行う本社等
        0609　　その他の管理，補助的経済活動を行う事業所
    061　　一般土木建築工事業
        0611　　一般土木建築工事業
    062　　土木工事業（舗装工事業を除く）
        0621　　土木工事業(別掲を除く)
        0622　　造園工事業
        0623　　しゅんせつ工事業
    063　　舗装工事業
        0631　　舗装工事業
    064　　建築工事業(木造建築工事業を除く)
        0641　　建築工事業(木造建築工事業を除く)
    065　　木造建築工事業
        0651　　木造建築工事業
    066　　建築リフォーム工事業
        0661　　建築リフォーム工事業
中分類　07　　職別工事業(設備工事業を除く)
    070　　管理，補助的経済活動を行う事業所（07職別工事業）
        0700　　主として管理事務を行う本社等
        0709　　その他の管理，補助的経済活動を行う事業所
    071　　大工工事業
        0711　　大工工事業(型枠大工工事業を除く)
        0712　　型枠大工工事業
    072　　とび・土工・コンクリート工事業
        0721　　とび工事業
        0722　　土工・コンクリート工事業
        0723　　特殊コンクリート工事業
    073　　鉄骨・鉄筋工事業
        0731　　鉄骨工事業
        0732　　鉄筋工事業
    074　　石工・れんが・タイル・ブロック工事業
        0741　　石工工事業
        0742　　れんが工事業
        0743　　タイル工事業
        0744　　コンクリートブロック工事業
    075　　左官工事業
        0751　　左官工事業
    076　　板金・金物工事業
        0761　　金属製屋根工事業
        0762　　板金工事業
        0763　　建築金物工事業
    077　　塗装工事業
        0771　　塗装工事業（道路標示・区画線工事業を除く）
        0772　　道路標示・区画線工事業
    078　　床・内装工事業
        0781　　床工事業
        0782　　内装工事業
    079　　その他の職別工事業
        0791　　ガラス工事業
        0792　　金属製建具工事業
        0793　　木製建具工事業
        0794　　屋根工事業（金属製屋根工事業を除く）
        0795　　防水工事業
        0796　　はつり・解体工事業
        0799　　他に分類されない職別工事業
中分類　08　　設備工事業
    080　　管理，補助的経済活動を行う事業所（08設備工事業）
        0800　　主として管理事務を行う本社等
        0809　　その他の管理，補助的経済活動を行う事業所
    081　　電気工事業
        0811　　一般電気工事業
        0812　　電気配線工事業
    082　　電気通信・信号装置工事業
        0821　　電気通信工事業（有線テレビジョン放送設備設置工事業を除く）
        0822　　有線テレビジョン放送設備設置工事業
        0823　　信号装置工事業
    083　　管工事業（さく井工事業を除く）
        0831　　一般管工事業
        0832　　冷暖房設備工事業
        0833　　給排水・衛生設備工事業
        0839　　その他の管工事業
    084　　機械器具設置工事業
        0841　　機械器具設置工事業（昇降設備工事業を除く）
        0842　　昇降設備工事業
    089　　その他の設備工事業
        0891　　築炉工事業
        0892　　熱絶縁工事業
        0893　　道路標識設置工事業
        0894　　さく井工事業
大分類 E　製造業 　　説明及び内容例示（PDF：529KB）
中分類　09　　食料品製造業
    090　　管理，補助的経済活動を行う事業所（09食料品製造業）
        0900　　主として管理事務を行う本社等
        0909　　その他の管理，補助的経済活動を行う事業所
    091　　畜産食料品製造業
        0911　　部分肉・冷凍肉製造業
        0912　　肉加工品製造業
        0913　　処理牛乳・乳飲料製造業
        0914　　乳製品製造業（処理牛乳，乳飲料を除く）
        0919　　その他の畜産食料品製造業
    092　　水産食料品製造業
        0921　　水産缶詰・瓶詰製造業
        0922　　海藻加工業
        0923　　水産練製品製造業
        0924　　塩干・塩蔵品製造業
        0925　　冷凍水産物製造業
        0926　　冷凍水産食品製造業
        0929　　その他の水産食料品製造業
    093　　野菜缶詰・果実缶詰・農産保存食料品製造業
        0931　　野菜缶詰・果実缶詰・農産保存食料品製造業（野菜漬物を除く）
        0932　　野菜漬物製造業（缶詰，瓶詰，つぼ詰を除く）
    094　　調味料製造業
        0941　　味そ製造業
        0942　　しょう油・食用アミノ酸製造業
        0943　　ソース製造業
        0944　　食酢製造業
        0949　　その他の調味料製造業
    095　　糖類製造業
        0951　　砂糖製造業（砂糖精製業を除く）
        0952　　砂糖精製業
        0953　　ぶどう糖・水あめ・異性化糖製造業
    096　　精穀・製粉業
        0961　　精米・精麦業
        0962　　小麦粉製造業
        0969　　その他の精穀・製粉業
    097　　パン・菓子製造業
        0971　　パン製造業
        0972　　生菓子製造業
        0973　　ビスケット類・干菓子製造業
        0974　　米菓製造業
        0979　　その他のパン・菓子製造業
    098　　動植物油脂製造業
        0981　　動植物油脂製造業（食用油脂加工業を除く）
        0982　　食用油脂加工業
    099　　その他の食料品製造業
        0991　　でんぷん製造業
        0992　　めん類製造業
        0993　　豆腐・油揚製造業
        0994　　あん類製造業
        0995　　冷凍調理食品製造業
        0996　　そう（惣）菜製造業
        0997　　すし・弁当・調理パン製造業
        0998　　レトルト食品製造業
        0999　　他に分類されない食料品製造業
中分類　10　　飲料・たばこ・飼料製造業
    100　　管理，補助的経済活動を行う事業所（10飲料・たばこ・飼料製造業）
        1000　　主として管理事務を行う本社等
        1009　　その他の管理，補助的経済活動を行う事業所
    101　　清涼飲料製造業
        1011　　清涼飲料製造業
    102　　酒類製造業
        1021　　果実酒製造業
        1022　　ビール類製造業
        1023　　清酒製造業
        1024　　蒸留酒・混成酒製造業
    103　　茶・コーヒー製造業（清涼飲料を除く）
        1031　　製茶業
        1032　　コーヒー製造業
    104　　製氷業
        1041　　製氷業
    105　　たばこ製造業
        1051　　たばこ製造業（葉たばこ処理業を除く)
        1052　　葉たばこ処理業
    106　　飼料・有機質肥料製造業
        1061　　配合飼料製造業
        1062　　単体飼料製造業
        1063　　有機質肥料製造業
中分類　11　　繊維工業
    110　　管理，補助的経済活動を行う事業所（11繊維工業）
        1100　　主として管理事務を行う本社等
        1109　　その他の管理，補助的経済活動を行う事業所
    111　　製糸業，紡績業，化学繊維・ねん糸等製造業
        1111　　製糸業
        1112　　化学繊維製造業
        1113　　炭素繊維製造業
        1114　　綿紡績業
        1115　　化学繊維紡績業
        1116　　毛紡績業
        1117　　ねん糸製造業（かさ高加工糸を除く）
        1118　　かさ高加工糸製造業
        1119　　その他の紡績業
    112　　織物業
        1121　　綿・スフ織物業
        1122　　絹・人絹織物業
        1123　　毛織物業
        1124　　麻織物業
        1125　　細幅織物業
        1129　　その他の織物業
    113　　ニット生地製造業
        1131　　丸編ニット生地製造業
        1132　　たて編ニット生地製造業
        1133　　横編ニット生地製造業
    114　　染色整理業
        1141　　綿・スフ・麻織物機械染色業
        1142　　絹・人絹織物機械染色業
        1143　　毛織物機械染色整理業
        1144　　織物整理業
        1145　　織物手加工染色整理業
        1146　　綿状繊維・糸染色整理業
        1147　　ニット・レース染色整理業
        1148　　繊維雑品染色整理業
    115　　綱・網・レース・繊維粗製品製造業
        1151　　綱製造業
        1152　　漁網製造業
        1153　　網地製造業（漁網を除く）
        1154　　レース製造業
        1155　　組ひも製造業
        1156　　整毛業
        1157　　フェルト・不織布製造業
        1158　　上塗りした織物・防水した織物製造業
        1159　　その他の繊維粗製品製造業
    116　　外衣・シャツ製造業（和式を除く）
        1161　　織物製成人男子・少年服製造業（不織布製及びレース製を含む）
        1162　　織物製成人女子・少女服製造業（不織布製及びレース製を含む）
        1163　　織物製乳幼児服製造業（不織布製及びレース製を含む）
        1164　　織物製シャツ製造業（不織布製及びレース製を含み、下着を除く）
        1165　　織物製事務用・作業用・衛生用・スポーツ用衣服・学校服製造業（不織布製及びレース製を含む）
        1166　　ニット製外衣製造業（アウターシャツ類，セーター類などを除く）
        1167　　ニット製アウターシャツ類製造業
        1168　　セーター類製造業
        1169　　その他の外衣・シャツ製造業
    117　　下着類製造業
        1171　　織物製下着製造業
        1172　　ニット製下着製造業
        1173　　織物製・ニット製寝着類製造業
        1174　　補整着製造業
    118　　和装製品・その他の衣服・繊維製身の回り品製造業
        1181　　和装製品製造業（足袋を含む）
        1182　　ネクタイ製造業
        1183　　スカーフ・マフラー・ハンカチーフ製造業
        1184　　靴下製造業
        1185　　手袋製造業
        1186　　帽子製造業（帽体を含む）
        1189　　他に分類されない衣服・繊維製身の回り品製造業
    119　　その他の繊維製品製造業
        1191　　寝具製造業
        1192　　毛布製造業
        1193　　じゅうたん・その他の繊維製床敷物製造業
        1194　　帆布製品製造業
        1195　　繊維製袋製造業
        1196　　刺しゅう業
        1197　　タオル製造業
        1198　　繊維製衛生材料製造業
        1199　　他に分類されない繊維製品製造業
中分類　12　　木材・木製品製造業（家具を除く）
    120　　管理，補助的経済活動を行う事業所（12木材・木製品製造業）
        1200　　主として管理事務を行う本社等
        1209　　その他の管理，補助的経済活動を行う事業所
    121　　製材業，木製品製造業
        1211　　一般製材業
        1212　　単板（ベニヤ）製造業
        1213　　木材チップ製造業
        1219　　その他の特殊製材業
    122　　造作材・合板・建築用組立材料製造業
        1221　　造作材製造業（建具を除く）
        1222　　合板製造業
        1223　　集成材製造業
        1224　　建築用木製組立材料製造業
        1225　　パーティクルボード製造業
        1226　　繊維板製造業
        1227　　銘木製造業
        1228　　床板製造業
    123　　木製容器製造業（竹，とうを含む）
        1231　　竹・とう・きりゅう等容器製造業
        1232　　木箱製造業
        1233　　たる・おけ製造業
    129　　その他の木製品製造業(竹，とうを含む)
        1291　　木材薬品処理業
        1292　　コルク加工基礎資材・コルク製品製造業
        1299　　他に分類されない木製品製造業(竹，とうを含む)
中分類　13　　家具・装備品製造業
    130　　管理，補助的経済活動を行う事業所（13家具・装備品製造業）
        1300　　主として管理事務を行う本社等
        1309　　その他の管理，補助的経済活動を行う事業所
    131　　家具製造業
        1311　　木製家具製造業（漆塗りを除く）
        1312　　金属製家具製造業
        1313　　マットレス・組スプリング製造業
    132　　宗教用具製造業
        1321　　宗教用具製造業
    133　　建具製造業
        1331　　建具製造業
    139　　その他の家具・装備品製造業
        1391　　事務所用・店舗用装備品製造業
        1392　　窓用・扉用日よけ，日本びょうぶ等製造業
        1393　　鏡縁・額縁製造業
        1399　　他に分類されない家具・装備品製造業
中分類　14　　パルプ・紙・紙加工品製造業
    140　　管理，補助的経済活動を行う事業所（14パルプ・紙・紙加工品製造業）
        1400　　主として管理事務を行う本社等
        1409　　その他の管理，補助的経済活動を行う事業所
    141　　パルプ製造業
        1411　　パルプ製造業
    142　　紙製造業
        1421　　洋紙製造業
        1422　　板紙製造業
        1423　　機械すき和紙製造業
        1424　　手すき和紙製造業
    143　　加工紙製造業
        1431　　塗工紙製造業（印刷用紙を除く）
        1432　　段ボール製造業
        1433　　壁紙・ふすま紙製造業
    144　　紙製品製造業
        1441　　事務用・学用紙製品製造業
        1442　　日用紙製品製造業
        1449　　その他の紙製品製造業
    145　　紙製容器製造業
        1451　　重包装紙袋製造業
        1452　　角底紙袋製造業
        1453　　段ボール箱製造業
        1454　　紙器製造業
    149　　その他のパルプ・紙・紙加工品製造業
        1499　　その他のパルプ・紙・紙加工品製造業
中分類　15　　印刷・同関連業
    150　　管理，補助的経済活動を行う事業所（15印刷・同関連業）
